"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X190","2020-02-24 00:00:00","10.000","17.000","2.900","18.900","0.880","1021.300","","0.000","-99.000","-99.000","-99.000","24.300","","17.200",""
"C0S950","2020-02-24 00:00:00","415.000","18.000","0.800","16.700","0.990","977.300","","1.000","-99.000","-99.000","-99.000","20.200","","16.300",""
"C0A880","2020-02-24 00:00:00","6.000","178.000","1.900","18.000","0.950","1022.700","","1.000","-99.000","-99.000","-99.000","19.500","","17.200",""
"C0I530","2020-02-24 00:00:00","3014.000","-99.000","-99.000","9.800","0.020","706.800","","0.000","-99.000","-99.000","-99.000","10.800","","1.100",""
"C0M670","2020-02-24 00:00:00","43.000","0.000","0.000","18.200","0.870","1017.200","","0.000","-99.000","-99.000","-99.000","25.400","","15.900",""
"C0Z061","2020-02-24 00:00:00","174.000","0.000","0.000","17.600","0.990","1008.600","","2.500","-99.000","-99.000","-99.000","20.100","","17.200",""
"C0M730","2020-02-24 00:00:00","40.000","0.000","0.000","19.000","0.860","1017.300","","0.000","-99.000","-99.000","-99.000","27.700","","17.700",""
"C0U750","2020-02-24 00:00:00","398.000","149.000","5.100","15.700","1.000","978.200","","1.000","-99.000","-99.000","-99.000","16.000","","13.500",""
"C0A650","2020-02-24 00:00:00","287.000","0.000","0.000","16.800","0.990","991.200","","1.000","-99.000","-99.000","-99.000","17.000","","13.000",""
"C0K400","2020-02-24 00:00:00","65.000","0.000","0.000","18.200","0.990","1015.700","","0.000","-99.000","-99.000","-99.000","25.300","","15.800",""
"C0I370","2020-02-24 00:00:00","671.000","0.000","0.000","16.200","0.910","947.400","","0.000","-99.000","-99.000","-99.000","25.500","","10.800",""
"C0S750","2020-02-24 00:00:00","2280.000","273.000","0.800","4.800","1.000","780.300","","4.000","-99.000","-99.000","-99.000","13.600","","4.100",""
"C0R650","2020-02-24 00:00:00","29.000","63.000","0.800","18.400","0.990","1020.200","","0.000","-99.000","-99.000","-99.000","26.400","","17.600",""
"C0E740","2020-02-24 00:00:00","27.000","0.000","0.000","15.400","1.000","1013.900","","0.000","-99.000","-99.000","-99.000","26.400","","14.500",""
"C0AI20","2020-02-24 00:00:00","25.000","69.000","5.200","19.500","0.800","1020.300","","0.000","-99.000","-99.000","-99.000","19.500","","16.700",""
"C0E550","2020-02-24 00:00:00","84.000","0.000","0.000","15.200","0.990","1012.800","","0.000","-99.000","-99.000","-99.000","25.200","","14.900",""
"C0X060","2020-02-24 00:00:00","19.000","7.000","1.400","17.400","0.930","1022.100","","0.000","-99.000","-99.000","-99.000","26.300","","15.500",""
"C0R510","2020-02-24 00:00:00","31.000","105.000","0.800","19.400","0.870","1019.300","","0.000","-99.000","-99.000","-99.000","27.100","","18.000",""
"C0AC60","2020-02-24 00:00:00","55.000","125.000","1.000","19.400","0.870","1016.400","","1.000","-99.000","-99.000","-99.000","21.600","","16.100",""
"C0UA70","2020-02-24 00:00:00","547.000","149.000","2.700","15.400","0.990","962.200","","2.000","-99.000","-99.000","-99.000","15.500","","11.100",""
"C0G740","2020-02-24 00:00:00","24.000","25.000","1.100","18.600","0.900","1020.100","","0.000","-99.000","-99.000","-99.000","22.700","","16.600",""
"C0F9N0","2020-02-24 00:00:00","75.000","120.000","0.400","18.800","0.850","1013.700","","0.000","-99.000","-99.000","-99.000","26.800","","16.800",""
"C0F9T0","2020-02-24 00:00:00","111.000","57.000","0.300","18.600","0.870","1009.100","","0.000","-99.000","-99.000","-99.000","24.700","","16.100",""
"C0S710","2020-02-24 00:00:00","382.000","343.000","1.600","15.600","0.990","982.600","","1.000","-99.000","-99.000","-99.000","19.300","","15.600",""
"C0M680","2020-02-24 00:00:00","37.000","344.000","0.800","18.400","0.950","1020.000","","0.000","-99.000","-99.000","-99.000","25.500","","17.300",""
